STRUCTURE,STRUCTURE_ID,freq,unit,month,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:DEMO_MMONTH(1.0),A,NR,TOTAL,AD,1977,122,
dataflow,ESTAT:DEMO_MMONTH(1.0),A,NR,TOTAL,AD,1978,140,
dataflow,ESTAT:DEMO_MMONTH(1.0),A,NR,TOTAL,AD,1979,110,
dataflow,ESTAT:DEMO_MMONTH(1.0),A,NR,TOTAL,AD,1980,153,
dataflow,ESTAT:DEMO_MMONTH(1.0),A,NR,TOTAL,AD,1981,156,
dataflow,ESTAT:DEMO_MMONTH(1.0),A,NR,TOTAL,AD,1982,127,
dataflow,ESTAT:DEMO_MMONTH(1.0),A,NR,TOTAL,AD,1983,157,
dataflow,ESTAT:DEMO_MMONTH(1.0),A,NR,TOTAL,AD,1984,164,
dataflow,ESTAT:DEMO_MMONTH(1.0),A,NR,TOTAL,AD,1985,165,
dataflow,ESTAT:DEMO_MMONTH(1.0),A,NR,TOTAL,AD,1986,179,
dataflow,ESTAT:DEMO_MMONTH(1.0),A,NR,TOTAL,AD,1987,176,
dataflow,ESTAT:DEMO_MMONTH(1.0),A,NR,TOTAL,AD,1988,206,
dataflow,ESTAT:DEMO_MMONTH(1.0),A,NR,TOTAL,AD,1989,209,
dataflow,ESTAT:DEMO_MMONTH(1.0),A,NR,TOTAL,AD,1990,191,
dataflow,ESTAT:DEMO_MMONTH(1.0),A,NR,TOTAL,AD,1991,217,
dataflow,ESTAT:DEMO_MMONTH(1.0),A,NR,TOTAL,AD,1992,219,
dataflow,ESTAT:DEMO_MMONTH(1.0),A,NR,TOTAL,AD,1993,211,
dataflow,ESTAT:DEMO_MMONTH(1.0),A,NR,TOTAL,AD,1994,184,
dataflow,ESTAT:DEMO_MMONTH(1.0),A,NR,TOTAL,AD,1995,219,
dataflow,ESTAT:DEMO_MMONTH(1.0),A,NR,TOTAL,AD,1996,197,
dataflow,ESTAT:DEMO_MMONTH(1.0),A,NR,TOTAL,AD,1997,197,
dataflow,ESTAT:DEMO_MMONTH(1.0),A,NR,TOTAL,AD,1998,235,
dataflow,ESTAT:DEMO_MMONTH(1.0),A,NR,TOTAL,AD,1999,207,
dataflow,ESTAT:DEMO_MMONTH(1.0),A,NR,TOTAL,AD,2000,227,
dataflow,ESTAT:DEMO_MMONTH(1.0),A,NR,TOTAL,AD,2001,215,
dataflow,ESTAT:DEMO_MMONTH(1.0),A,NR,TOTAL,AD,2002,218,
dataflow,ESTAT:DEMO_MMONTH(1.0),A,NR,TOTAL,AD,2003,221,
dataflow,ESTAT:DEMO_MMONTH(1.0),A,NR,TOTAL,AD,2004,281,
dataflow,ESTAT:DEMO_MMONTH(1.0),A,NR,TOTAL,AD,2005,276,
dataflow,ESTAT:DEMO_MMONTH(1.0),A,NR,TOTAL,AD,2006,260,
dataflow,ESTAT:DEMO_MMONTH(1.0),A,NR,TOTAL,AD,2007,230,
dataflow,ESTAT:DEMO_MMONTH(1.0),A,NR,TOTAL,AD,2008,237,
dataflow,ESTAT:DEMO_MMONTH(1.0),A,NR,TOTAL,AD,2009,272,
dataflow,ESTAT:DEMO_MMONTH(1.0),A,NR,TOTAL,AD,2010,239,
dataflow,ESTAT:DEMO_MMONTH(1.0),A,NR,TOTAL,AD,2011,275,
dataflow,ESTAT:DEMO_MMONTH(1.0),A,NR,TOTAL,AD,2012,303,
