STRUCTURE,STRUCTURE_ID,freq,unit,age,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:DEMO_PJAN(1.0),A,NR,TOTAL,T,AD,1986,44593,
dataflow,ESTAT:DEMO_PJAN(1.0),A,NR,TOTAL,T,AD,1987,46976,
dataflow,ESTAT:DEMO_PJAN(1.0),A,NR,TOTAL,T,AD,1988,48451,
dataflow,ESTAT:DEMO_PJAN(1.0),A,NR,TOTAL,T,AD,1989,50528,
dataflow,ESTAT:DEMO_PJAN(1.0),A,NR,TOTAL,T,AD,1990,50887,
dataflow,ESTAT:DEMO_PJAN(1.0),A,NR,TOTAL,T,AD,1991,54507,
dataflow,ESTAT:DEMO_PJAN(1.0),A,NR,TOTAL,T,AD,1992,59048,
dataflow,ESTAT:DEMO_PJAN(1.0),A,NR,TOTAL,T,AD,1993,61599,
dataflow,ESTAT:DEMO_PJAN(1.0),A,NR,TOTAL,T,AD,1994,65226,
dataflow,ESTAT:DEMO_PJAN(1.0),A,NR,TOTAL,T,AD,1995,64311,
dataflow,ESTAT:DEMO_PJAN(1.0),A,NR,TOTAL,T,AD,1996,63859,
dataflow,ESTAT:DEMO_PJAN(1.0),A,NR,TOTAL,T,AD,1997,64479,
dataflow,ESTAT:DEMO_PJAN(1.0),A,NR,TOTAL,T,AD,1998,65306,
dataflow,ESTAT:DEMO_PJAN(1.0),A,NR,TOTAL,T,AD,1999,65877,
dataflow,ESTAT:DEMO_PJAN(1.0),A,NR,TOTAL,T,AD,2000,65971,
dataflow,ESTAT:DEMO_PJAN(1.0),A,NR,TOTAL,T,AD,2001,65844,
dataflow,ESTAT:DEMO_PJAN(1.0),A,NR,TOTAL,T,AD,2002,66334,
dataflow,ESTAT:DEMO_PJAN(1.0),A,NR,TOTAL,T,AD,2003,67159,
dataflow,ESTAT:DEMO_PJAN(1.0),A,NR,TOTAL,T,AD,2004,72320,
dataflow,ESTAT:DEMO_PJAN(1.0),A,NR,TOTAL,T,AD,2005,76875,
dataflow,ESTAT:DEMO_PJAN(1.0),A,NR,TOTAL,T,AD,2006,78549,
dataflow,ESTAT:DEMO_PJAN(1.0),A,NR,TOTAL,T,AD,2007,81222,
dataflow,ESTAT:DEMO_PJAN(1.0),A,NR,TOTAL,T,AD,2008,83137,
dataflow,ESTAT:DEMO_PJAN(1.0),A,NR,TOTAL,T,AD,2009,84484,
dataflow,ESTAT:DEMO_PJAN(1.0),A,NR,TOTAL,T,AD,2010,84082,
dataflow,ESTAT:DEMO_PJAN(1.0),A,NR,TOTAL,T,AD,2011,78115,
dataflow,ESTAT:DEMO_PJAN(1.0),A,NR,TOTAL,T,AD,2012,78115,
dataflow,ESTAT:DEMO_PJAN(1.0),A,NR,TOTAL,T,AD,2013,76246,
