year,deaths,population,imigrants,emigrants,births,birthrate,deathrate,imigrationrate,emigrationrate
1960,89603,7030385,0,0,125945,17.91438164481746,12.745105709004555,0.0,0.0
1961,85673,7064693,0,0,131563,18.62260681391251,12.12692469439224,0.0,0.0
1962,90854,7107904,0,0,133253,18.74715809330008,12.782108480924897,0.0,0.0
1963,91579,7151824,0,0,134809,18.849596969947807,12.804985133862354,0.0,0.0
1964,89081,7199798,0,0,133841,18.58954931791142,12.372708234314352,0.0,0.0
1965,94273,7247804,0,0,129924,17.925981442103016,13.00711222323341,0.0,0.0
1966,91440,7293973,0,0,128577,17.627841506953754,12.536377636714587,0.0,0.0
1967,95438,7350159,0,0,127404,17.333502581372727,12.984481015988905,0.0,0.0
1968,96014,7403837,0,0,126115,17.03373534560526,12.968140708662279,0.0,0.0
1969,98715,7426968,0,0,121377,16.34273905583005,13.291426595617484,0.0,0.0
1970,98819,7455142,0,0,112301,15.063562840251736,13.255146582050347,0.0,0.0
1971,97334,7479030,0,0,108510,14.50856595039731,13.014254522311049,0.0,0.0
1972,95323,7521933,0,0,104033,13.830620400367831,12.67267336733789,0.0,0.0
1973,92768,7566469,0,0,98041,12.957298840449884,12.260408388642047,0.0,0.0
1974,94324,7605760,0,0,97430,12.8100281891619,12.401653483675531,0.0,0.0
1975,96041,7592316,0,0,93757,12.348932789414983,12.64976326064405,0.0,0.0
1976,95140,7565489,0,0,87446,11.55853904486544,12.575525521218788,0.0,0.0
1977,92402,7565561,0,0,85595,11.313767743066245,12.21350273958534,0.0,0.0
1978,94617,7571299,0,0,85402,11.279702465851633,12.496798765971334,0.0,0.0
1979,92012,7553310,0,0,86388,11.437105057253046,12.181679290271417,0.0,0.0
1980,92442,7545539,0,0,90872,12.043142312298697,12.251212272575888,0.0,0.0
1981,92693,7553326,0,0,94075,12.454778199696397,12.271812443948534,0.0,0.0
1982,91339,7584094,0,0,94840,12.50511926671795,12.043495241488305,0.0,0.0
1983,93041,7564185,0,0,90118,11.913775244788434,12.300201541871331,0.0,0.0
1984,88466,7559635,0,0,89234,11.804009055992783,11.70241684949075,0.0,0.0
1985,89578,7563233,0,0,87440,11.561193473743305,11.843876818286573,0.0,0.0
1986,87071,7566736,0,0,86964,11.492934337870384,11.507075177460928,0.0,0.0
1987,84907,7572852,0,0,86589,11.434133401788388,11.212024214919293,0.0,0.0
1988,83263,7576319,0,0,88052,11.622002716622678,10.989901560375165,0.0,0.0
1989,83407,7594315,0,0,88759,11.687558390717266,10.982820702064636,0.0,0.0
1990,82952,7644818,0,0,90454,11.83206715974141,10.8507488340468,0.0,0.0
1991,83428,7710882,0,0,94629,12.272136961763907,10.819514550994295,0.0,0.0
1992,83162,7798899,0,0,95302,12.219930018326947,10.663300037607872,0.0,0.0
1993,82517,7882519,0,0,95227,12.080782805598059,10.468354088331408,0.0,0.0
1994,80684,7928746,0,0,92415,11.65568931076869,10.176136302007908,0.0,0.0
1995,81171,7943489,0,0,88669,11.162475330424703,10.218557613663215,0.0,0.0
1996,80790,7953067,69930,66050,88809,11.166635462771783,10.158345201920216,8.79283426129819,8.304972157282215
1997,79432,7964966,70122,68585,84045,10.551834119568118,9.972672827479741,8.803804058925047,8.610833994771603
1998,78339,7971116,72723,64272,81233,10.19091931418386,9.827858483053063,9.12331472782481,8.06311186538999
1999,78200,7982461,86710,66923,78138,9.78871052423557,9.796477552474107,10.862564815537464,8.383755335603896
2000,76780,8002186,81676,64472,78268,9.780827388915979,9.594878199531976,10.20671101621482,8.056798479815392
2001,74767,8020946,89928,72654,75458,9.4076185028549,9.321469063624166,11.211645110190245,9.058033802995308
2002,76131,8063640,108125,74831,78399,9.722532255904282,9.44126969954016,13.408956749061216,9.280052184869366
2003,77209,8100273,111869,71996,76944,9.498939109830003,9.531654056597844,13.81052218857315,8.888095499991174
2004,74292,8142573,122547,71721,78968,9.698162976248417,9.123897323364494,15.050156750206598,8.808149463320746
2005,75189,8201359,114465,70133,78190,9.5337858030602,9.167870837016158,13.956833251659877,8.551387641974946
2006,74295,8254298,98535,74432,77914,9.43920367304403,9.000765419421494,11.93741733094686,9.017362833277886
2007,74625,8282984,72862,49898,76250,9.205619617278023,9.0094342811721,8.79658828267687,6.02415747754674
2008,75083,8307989,73772,51563,77752,9.3587028100302,9.037445764552649,8.879645844499793,6.206435757197078
2009,77381,8335003,69295,53244,76344,9.159444813637139,9.283859885833275,8.313734260203626,6.388000100299904
2010,77199,8351643,70978,51651,78742,9.428324462623701,9.24357039686682,8.498687024816554,6.184531594561692
2011,76479,8375164,82230,51197,78109,9.326265133435,9.13164207888944,9.818315199559077,6.112954922434952
2012,79436,8408121,91557,51812,78952,9.38996953064781,9.447532926797795,10.889115415917539,6.1621377713284575
2013,79526,8451860,101866,54071,79330,9.386099627774241,9.409289789466461,12.05249495377349,6.397526698265233
2014,78252,8507786,116262,53491,81722,9.605554253480282,9.197692560673246,13.665364878712277,6.28729965704356
2015,83073,8584926,166323,56689,84381,9.82897231729196,9.676612238707708,19.373842010985303,6.603318421148884
2016,80669,8700471,129509,64428,87675,10.077040656764444,9.271796894673864,14.885286095430926,7.405116343701392
2017,83270,8772865,111801,66144,87633,9.989097062362182,9.491768082604715,12.743955366918332,7.539612201943151
2018,83975,8822267,105633,67212,85535,9.695353813254576,9.518528514269633,11.97345308184393,7.618449997035909
2019,83386,8858775,109167,68280,84952,9.58958772516516,9.412813848415837,12.323035634159352,7.707611944089335
2020,91599,8901064,103565,62581,83603,9.392472630238363,10.290792201921029,11.635125868098466,7.03073250568696
2021,91962,8932664,118511,67299,86078,9.636319019723567,10.295025089939575,13.26715076263923,7.5340346396103115
2022,93332,8978929,201622,74271,82627,9.202322459616287,10.394558192853513,22.455016628375166,8.27169921936124
