year,deaths,population,imigrants,emigrants,births,birthrate,deathrate,imigrationrate,emigrationrate
1960,113938,9128824,0,0,154784,16.955524610837056,12.481125717836163,0.0,0.0
1961,106985,9178154,0,0,158431,17.261750020755805,11.656483427931152,0.0,0.0
1962,114908,9189741,0,0,155061,16.873272054130794,12.503943255854544,0.0,0.0
1963,116718,9251414,0,0,159192,17.207315551979406,12.616233583320344,0.0,0.0
1964,110100,9328126,0,0,160838,17.242262808199634,11.803013810062172,0.0,0.0
1965,115045,9428100,0,0,155496,16.492824641232062,12.202352541869518,0.0,0.0
1966,116397,9499234,0,0,151096,15.906124641207914,12.253303792705813,0.0,0.0
1967,115212,9556380,0,0,146193,15.297947549176572,12.056029584424227,0.0,0.0
1968,121744,9605601,0,0,141984,14.781375990945284,12.674272021084365,0.0,0.0
1969,122398,9631910,0,0,141799,14.7217945350403,12.707552292328312,0.0,0.0
1970,118660,9660154,0,0,142168,14.716949646972502,12.283448069254382,0.0,0.0
1971,119899,9650944,0,0,141527,14.664575817660946,12.423551519934215,0.0,0.0
1972,117424,9695379,0,0,136304,14.058656190748192,12.11133675125026,0.0,0.0
1973,118254,9726850,0,0,129424,13.305849272888961,12.157481610182124,0.0,0.0
1974,116158,9756590,0,0,123674,12.675945181666956,11.905594065139562,0.0,0.0
1975,119425,9788248,0,0,119693,12.228235328732987,12.200855556581729,0.0,0.0
1976,118641,9813152,0,0,121034,12.333855625593081,12.089999217376842,0.0,0.0
1977,112672,9823302,0,0,121852,12.404382966135012,11.469870314482849,0.0,0.0
1978,115388,9837413,0,0,122592,12.461812877023664,11.729506527783268,0.0,0.0
1979,112010,9841654,0,0,123825,12.581726608149403,11.381217019009203,0.0,0.0
1980,113699,9855110,0,0,124398,12.62269015769484,11.537060469137332,0.0,0.0
1981,112326,9863374,0,0,123792,12.550674850208459,11.388192316341243,0.0,0.0
1982,111871,9854589,0,0,120241,12.20152357444841,11.35217308403222,0.0,0.0
1983,114534,9858017,0,0,117145,11.88322154445463,11.618360974626032,0.0,0.0
1984,110687,9853023,0,0,115651,11.737615958066879,11.233811186678443,0.0,0.0
1985,111608,9857721,0,0,114092,11.57387189189063,11.321886671371608,0.0,0.0
1986,111343,9858895,0,0,117114,11.879018896133898,11.293659177828753,0.0,0.0
1987,105426,9864751,0,0,117354,11.896296216701263,10.687142534058893,0.0,0.0
1988,104552,9875716,0,0,119779,12.128639584208376,10.58677669548213,0.0,0.0
1989,107336,9927612,0,0,120904,12.178558146712422,10.811864927839647,0.0,0.0
1990,104130,9947782,62662,32502,123776,12.442572625737075,10.467660027129664,6.299092601747807,3.2672609834031348
1991,104149,9986975,67460,33752,125924,12.608822991947012,10.428483099236756,6.754798124557236,3.3796019315157992
1992,104200,10021997,66763,33707,124774,12.450013704853435,10.397129434383187,6.661646376465689,3.363301745151191
