freq,unit,month,geo;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
A,NR,M01,AD;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;69;52;78;67;69;69;68;59;: ;: ;: ;: ;: ;40;: ;: ;: ;: ;: 
A,NR,M01,AL;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;4743;4743;: ;: ;: ;: ;: ;3588;3092;3191;2893;: ;: ;: ;: ;: ;2839;2837;2742;2517;2423;2468;2393;2316;2066;2277;1984 p
A,NR,M01,AM;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;3319;3354;3362;3389;3715;: ;: ;: ;: ;3597;3444;4009;3081;3031;3020;2751;: ;2890;: 
A,NR,M01,AT;10666;11372;11433;11805;11343;11378;10723;10993;11197;10987;9759;9507;9187;8750;8545;8343;8047;7259;7157;7554;7481;7890;8142;7825;7424;7546;7468;7279;7442;7470;7612;7925;7932;8266;7798;7603;7436;7318;6860;6697;6587;6611;6594;6570;6780;6482;6526;6504;6739;6475;6414;6651;6389;6629;6666;6985;6980;7040;7219;7061;6932;6921;6611;6473 p
A,NR,M01,AZ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;11754;11850;11482;12221;12411;13042;: ;13857;13258;13993;13938;12717;12179;11938;12369;11279;10812;: ;: 
A,NR,M01,BA;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;2917;2806;2271;2688;2806;2932;2675;2870;: ;2763;: ;: ;: ;: ;: ;: ;: ;: ;: ;1544 p;1673 p
A,NR,M01,BE;13050;13427;13039;13096;13398;13305;12458;12157;11983;11848;11711;11998;11448;10995;10391;10038;9886;9756;9828;9967;10282;10165;9836;9790;9588;9291;9370;9754;9680;9824;10186;10789;10776;9895;9472;9506;9520;9838;9492;9215;9769;9928;9658;9676;9829;9849;10158;10411;10943;10718;10786;10759;10626;10732;10850;10131;10170;9903;9805;10008;9730;8693;9485;9204 p
A,NR,M01,BG;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;6723;6185;5763;5701;4791;5820;6436;5932;5415;5719;5826;5894;6106;6137;6695;6706;6570;6084;5951;5624;5886;5925;5508;5614;5491;5437;5410;4856;5085;5344 p
A,NR,M01,BY;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;2679;8717;9030;9649;10080;: ;9429;9796;10234;10143;10078;10028;9032;8348;: ;: ;: ;: ;: 
A,NR,M01,CH;7824;8230;8504;8875;9208;9506;9322;8844;8940;8888;8402;8219;7759;7462;7088;6959;6195;6192;6001;6019;6241;6140;6138;6311;6323;6326;6367;6228;6445;6577;6906;6964;7336;7114;6788;6859;6933;6963;6705;6478;6731;6176;6176;6188;6136;5892;6079;6116;6457;6444;6680;6646;6808;6721;7068;7169;7193;7078;7254;7246;7108;7439;6933;6367 p
A,NR,M01,CY;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;863;786;774;846;768;677;776;708;658;651;669;714;680;704;732;777;794;819;850;804;765;774;764;775;793;743;844;748;832;892 p
A,NR,M01,CZ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;10507;: ;10011;9885;9162;8162;7613 p;7490;7066;7187;7557;7574;7432;7538;7822;8004;8080;9089;9905;9726;9588;8906;8687;8937;9043;9439;9211;9202;9471;9403;9330;9305;8575;7881
A,NR,M01,DE;80400;85973;86067;90949;91098;88343;88222;86323;87474;82379;70089;68426;61530;55311;53101;52064;51538;48859;48225;48314;51397;51321;52107;49879;46880;49055;50896;53079;56462;55820;58994;74004;69448;69610;64558;63792;63899;70346;66888;65738;65715;63906;47613;59079;59633;57338;55299;57278;58519;55155;55273;54802;54528;55919;57517;59490;62422;63808;65402;63275;63713;64325;58409;56925 p
A,NR,M01,DE_TOT;105142;111619;111765;116863;117584;112775;112812;108613;108552;103340;89656;88529;82378;72512;68801;68476;68866;65738;67538;68139;72179;71624;72013;69562;66016;68732;70286;71372;75282;72655;75800;74004;69448;69610;64558;63792;63899;70346;66888;65738;65715;63906;47613;59079;59633;57338;55299;57278;58519;55155;55273;54802;54528;55919;57517;59490;62422;63808;65402;63275;63713;64325;58409;56925 p
A,NR,M01,DK;5787;6197;6291;6442;6673;6871;7044;6955;6075;6033;5499;5817;6088;5936;5932;5902;5376;5053;4944;4747;4738;4200;4368;3863;3974;4060;4080;4367;4500;4707;4930;5146;5244;5539;5361;5708;5524 p;5554;5372;5316;5439;5577;5338;5185;5255;5283;5043;5090;5220;5143;5232;4978;4779;4575;4735;4604;4738;4910;5061;4929;4937;5092;4880;4734
