FREQ,UNIT,MONTH,GEO,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
A,NR,TOTAL,AD,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,828,843,826,875,838,828,793,737,: ,: ,: ,: ,: ,543,: ,: ,: ,: ,: 
A,NR,TOTAL,AL,69686,68452,67209,68967,68599,65692,65127,71869,71869,73458,69507,72784,73607,69754,71862,70688,70510,73439,70594,72055,70680,: ,77232,73762,79177,77535,76435,79696,80241,78862,82125,77361,75425,67730,72179,72081,68358,61739,60139,: ,: ,: ,: ,: ,43022,39612,34229,: ,: ,: ,: ,: ,: ,35750,35760,32715,31733,30869,28934,28561,28075,27211,24688,: 
A,NR,TOTAL,AM,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,37499,37639,40105,41185,44413,: ,: ,: ,: ,43031,41763,40592,37700,36574,36041,36353,: ,36375,: 
A,NR,TOTAL,AT,125945,131563,133253,134809,133841,129924,128577,127404,126115,121377,112301,108510,104033,98041,97430,93757,87446,85595,85402,86388,90872,94075,94840,90118,89234,87440,86964,86589,88052,88759,90454,94629,95302,95227,92415,88669,88809,84045,81233,78138,78268,75458,78399,76944,78968,78190,77914,76250,77752,76344,78742,78109,78952,79330,81722,84381,87675,87633,85535,84952,83603,86078,82627,: 
A,NR,TOTAL,AZ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,141901,148946,151963,152086,152139,165643,: ,174469,172671,170503,166210,159464,144041,138982,141179,126571,112284,122846,: 
A,NR,TOTAL,BA,110499,108076,106826,104240,101147,101351,97689,89134,89134,87687,79296,82694,82068,77896,77833,78844,79061,75669,73306,71120,70928,71031,73375,74296,74539,72722,71203,70898,70711,66809,66952,64769,: ,: ,: ,: ,45421,48061,45007,: ,: ,: ,: ,35234,34167,34627,34033,33835,34176,34550,33528,: ,32547,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: 
A,NR,TOTAL,BE,154784,158431,155061,159192,160838,155496,151096,146193,141984,141799,142168,141527,136304,129424,123674,119693,121034,121852,122592,123825,124398,123792,120241,117145,115651,114092,117114,117354,119779,120904,123776,125924,124774,120848,116513,115542,116442,116213,114247,114170,116396,115372,113096,114005,117295,119622,122529,124095,127205,127198,130100,128705,128051,125606,125014,122274,121896,119690,118319,117695,114350,118349,114095,: 
A,NR,TOTAL,BG,140082,137861,134148,132143,130958,125791,123039,124582,141460,143060,138745,135422,131316,139713,149196,144668,144929,141702,136442,135358,128190,124372,124166,122993,122303,118955,120078,116672,117440,112289,105180,95910,89134,84400,79442,71967,72188,64125,65361,72291,73679,68180,66499,67359,69886,71075,73978,75349,77712,80956,75513,70846,69121,66578,67585,65950,64984,63955,62197,61538,59086,58678,56596,55103 f
A,NR,TOTAL,BY,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,90307,96721,103626,107876,109263,: ,109147,115893,117997,118534,119028,117779,102556,94042,: ,: ,: ,: ,: 
A,NR,TOTAL,CH,94372,99238,104322,109993,112890,111835,109738,107417,105130,102520,99216,96261,91342,87518,84507,78464,74199,72829,71375,71986,73661,73747,74916,73659,74710,74684,76320,76505,80345,81180,83939,86200,86910,83762,82980,82203,83007,80584,78949,78408,78458,72295,72372,71848,73082,72903,73371,74494,76691,78286,80290,80808,82164,82731,85287,86559,87883,87381,87851,86172,85914,89644,82371,: 
A,NR,TOTAL,CY,: ,15059,14787,14602,14224,13707,13250,12788,12403,12046,11801,11641,11620,11600,8593,8040,9295,9108,9382,9899,10383,10099,10840,10900,11005,10568,10691,10337,10752,10273,10622,10442,11372,10514,10379,9869,9638,9275,8879,8505,8447,8167,7883,8088,8309,8243,8731,8575,9205,9608,9801,9622,10161,9341,9258,9170,9455,9229,9329,9548,9930,10309,10197,: 
A,NR,TOTAL,CZ,128879,131019,133557,148840,154420,147438,141162,138448,137437,143165,147865,154180,163661,181750,194215,191776,187378,181763,178901,172112,153801,144438,141738,137431,136941,135881,133356,130921,132667,128356,130564,129354,121705,121025,106579,96097,90446,90657,90535,89471,90910,90715,92786,93685,97664,102211,105831,114632,119570,118348,117153,108673,108576,106751,109860,110764,112663,114405,114036,112231,110200,111793,101299,: 
A,NR,TOTAL,DE,968629,1012687,1018552,1054123,1065437,1044328,1050345,1019459,969825,903456,810808,778526,701214,635633,626373,600512,602851,582344,576468,581984,620657,624557,621173,594177,584157,586155,625963,642010,677259,681537,724563,830019,809114,798447,769603,765221,796013,812173,785034,770744,766999,734475,719250,706721,705622,685795,672724,684862,682514,665126,677947,662685,673544,682069,714927,737575,792141,784901,787523,778090,773144,795492,738819,: 
A,NR,TOTAL,DE_TOT,1261614,1313505,1316534,1355595,1357304,1325386,1318303,1272276,1214968,1142366,1047737,1013396,901657,815969,805500,782310,798334,805496,808619,817217,865789,862100,861275,827933,812292,813803,848232,867969,892993,880459,905675,830019,809114,798447,769603,765221,796013,812173,785034,770744,766999,734475,719250,706721,705622,685795,672724,684862,682514,665126,677947,662685,673544,682069,714927,737575,792141,784901,787523,778090,773144,795492,738819,: 
A,NR,TOTAL,DK,76077,76439,77808,82413,83356,85796,88332,81410,74543,71298,70802,75359,75505,71895,71327,72071,65267,61878,62036,59464,57293,53089,52658,50822,51800,53749,55312,56221,58844,61351,63433,64358,67726,67369,69666,69771,67638,67648,66174,66220,67084,65458,64149,64682,64609,64282,64984,64082,65038,62818,63411,58998,57916,55873,56870,58205,61614,61397,61476,61167,60937,63473,58430,: 
A,NR,TOTAL,EA19,: ,5040571,5052441,5170304,5272282,5156539,5106924,5000401,4886770,4817384,4663107,4649301,4488516,4339715,4287280,4138478,4113953,4061272,3992855,3948267,3972434,3902045,3862037,3714509,3670931,3625741,3630033,3608675,3647355,3592386,3628557,3535048,3490636,3390578,3302106,3275687,3309575,3328329,3334125 b,3346042,3411524,3351393,3344505,3362187,3400254,3389996,3429787,3447572,3524129,3467449,3472945,3394196,3349465,3272880,3305270,3280192,3301935,3229613,3170835,3115288,3044921,3085074,2951533,: 
A,NR,TOTAL,EA20,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,3121582,2985416,: 
A,NR,TOTAL,EE,20187,20230,19959,19275,19629,18909,18629,18671,19782,20781,21552,22118,21757,21239,21461,21360,21801,21977,21842,21879,22204,22937,23128,24155,24234,23630,24106,25086,25060,24318,22304,19413,18038,15253,14176,13509,13242,12577,12167,12425,13067,12632,13001,13036,13992,14350,14877,15775,16028,15763,15825,14679,14056,13531,13551,13907,14053,13784,14367,14099,13209,13272,11646,: 
A,NR,TOTAL,EEA30_2007,: ,7595116,7579706,7721881,7832568,7665806,7575017,7698062,7578866,7428123,7230244,7215690,6994877,6824272,6850905,6667984,6619132,6521645,6460728,6464649,6461786,6309915,6231752,6066019,6038093,6007968,5994870,5968219,6012834,5909205,5904513,5756875,5635489,5468949,5329232,5195793,5199003,5182146,5155451 b,5137464,5187356,5083143,5053507,5101745,5178423,5195775,5285975,5344885,5491363,5435234,5434446,5290073,5254000,5105275,5161304,5133434,5179700,5107800,4999409,: ,: ,: ,: ,: 
